bisonID,basisOfRecord,catalogNumber,collectorNumber,recordedBy,providerID,institutionCode,resourceID,ownerInstitutionCollectionCode,eventDate,year,verbatimEventDate,providedScientificName,scientificName,ITISscientificName,providedCommonName,ITIScommonName,ITIStsn,validAcceptedITIStsn,providedTSN,decimalLatitude,decimalLongitude,geodeticDatum,coordinatePrecision,coordinateUncertaintyInMeters,verbatimElevation,verbatimDepth,centroid,higherGeographyID,computedCountyFips,providedCounty,calculatedCounty,providedState,calculatedState,mrgid,calculated_waterbody,establishmentMeans,countryCode,institutionID,collectionID,relatedResourceID,associatedMedia,associatedReferences,generalComments,license
88280668,specimen,69992,,Collector(s): New Mexico Department of Game and Fish,122,Museum of Southwestern Biology,"122,201911",MSB Mammal Collection (Arctos),1990-06-01T02:00Z,1990,01-Jun-1990,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,,,,,,,,,,,Eddy County,,New Mexico,,,,AK,US,http://www.msb.unm.edu/herpetology,http://www.msb.unm.edu/mammals,,,,,CC0_1_0
88280669,specimen,69980,,Collector(s): New Mexico Department of Game and Fish,122,Museum of Southwestern Biology,"122,201911",MSB Mammal Collection (Arctos),1990-01-06T01:00Z,1990,06-Jan-1990,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,,,,,,,,,,,Eddy County,,New Mexico,,,,AK,US,http://www.msb.unm.edu/herpetology,http://www.msb.unm.edu/mammals,,,,,CC0_1_0
88280670,specimen,69986,,Collector(s): New Mexico Department of Game and Fish,122,Museum of Southwestern Biology,"122,201911",MSB Mammal Collection (Arctos),1994-06-01T02:00Z,1994,01-Jun-1994,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,,,,,,,,,,,Eddy County,,New Mexico,,,,AK,US,http://www.msb.unm.edu/herpetology,http://www.msb.unm.edu/mammals,,,,,CC0_1_0
88280671,specimen,69994,,Collector(s): New Mexico Department of Game and Fish,122,Museum of Southwestern Biology,"122,201911",MSB Mammal Collection (Arctos),1990-06-01T02:00Z,1990,01-Jun-1990,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,,,,,,,,,,,Eddy County,,New Mexico,,,,AK,US,http://www.msb.unm.edu/herpetology,http://www.msb.unm.edu/mammals,,,,,CC0_1_0
88280672,specimen,092544,8,"Hoy, N D",104,Natural History Museum of Los Angeles County,"104,202050",LACM Vertebrate Collection,1916-12-01T01:00Z,1916,99 DEC 1916,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,,,,,,,,,,,,,New Mexico,,,,AK,US,http://www.nhm.org/,http://www.nhm.org/,,,,,CC0_1_0
88280673,specimen,030819,,,104,Natural History Museum of Los Angeles County,"104,202050",LACM Vertebrate Collection,,,99 XXX 9999,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,,,,,,,,,,,,,Arizona,,,,AK,US,http://www.nhm.org/,http://www.nhm.org/,,,,,CC0_1_0
88280674,specimen,69988,,Collector(s): New Mexico Department of Game and Fish,122,Museum of Southwestern Biology,"122,201911",MSB Mammal Collection (Arctos),1994-06-01T02:00Z,1994,01-Jun-1994,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,,,,,,,,,,,Eddy County,,New Mexico,,,,AK,US,http://www.msb.unm.edu/herpetology,http://www.msb.unm.edu/mammals,,,,,CC0_1_0
88280675,specimen,69996,,Collector(s): New Mexico Department of Game and Fish,122,Museum of Southwestern Biology,"122,201911",MSB Mammal Collection (Arctos),1990-06-01T02:00Z,1990,01-Jun-1990,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,,,,,,,,,,,Eddy County,,New Mexico,,,,AK,US,http://www.msb.unm.edu/herpetology,http://www.msb.unm.edu/mammals,,,,,CC0_1_0
88280677,specimen,70006,,Collector(s): New Mexico Department of Game and Fish,122,Museum of Southwestern Biology,"122,201911",MSB Mammal Collection (Arctos),1994-06-01T02:00Z,1994,01-Jun-1994,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,,,,,,,,,,,Eddy County,,New Mexico,,,,AK,US,http://www.msb.unm.edu/herpetology,http://www.msb.unm.edu/mammals,,,,,CC0_1_0
88280678,specimen,70013,,Collector(s): J. Rogers,122,Museum of Southwestern Biology,"122,201911",MSB Mammal Collection (Arctos),1991-12-31T01:00Z,1991,31-Dec-1991,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,,,,,,,,,,,Eddy County,,New Mexico,,,,AK,US,http://www.msb.unm.edu/herpetology,http://www.msb.unm.edu/mammals,,,,,CC0_1_0
88280679,specimen,69990,,Collector(s): New Mexico Department of Game and Fish,122,Museum of Southwestern Biology,"122,201911",MSB Mammal Collection (Arctos),1990-06-01T02:00Z,1990,01-Jun-1990,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,,,,,,,,,,,Eddy County,,New Mexico,,,,AK,US,http://www.msb.unm.edu/herpetology,http://www.msb.unm.edu/mammals,,,,,CC0_1_0
88280680,specimen,6569,,Collector(s): J. L. Sands,122,Museum of Southwestern Biology,"122,201911",MSB Mammal Collection (Arctos),,,before 1 Jan 2005,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,,,,,,,,,,,Sierra County,,New Mexico,,,,AK,US,http://www.msb.unm.edu/herpetology,http://www.msb.unm.edu/mammals,,,,,CC0_1_0
88280681,specimen,69999,,Collector(s): New Mexico Department of Game and Fish,122,Museum of Southwestern Biology,"122,201911",MSB Mammal Collection (Arctos),1990-06-01T02:00Z,1990,01-Jun-1990,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,,,,,,,,,,,Eddy County,,New Mexico,,,,AK,US,http://www.msb.unm.edu/herpetology,http://www.msb.unm.edu/mammals,,,,,CC0_1_0
88280682,specimen,70016,,Collector(s): New Mexico Department of Game and Fish,122,Museum of Southwestern Biology,"122,201911",MSB Mammal Collection (Arctos),1994-06-01T02:00Z,1994,01-Jun-1994,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,,,,,,,,,,,Eddy County,,New Mexico,,,,AK,US,http://www.msb.unm.edu/herpetology,http://www.msb.unm.edu/mammals,,,,,CC0_1_0
